Complaint,CodedMonth,DateOccur,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,CADAddress,CADStreet,XCoord,YCoord
18-030435,2018-07,7/3/2018 10:04,182999,1,DRUGS-POSSESSION/OTHR UNSPEC DRUG,3862,S SPRING AVE,16,3862,SPRING,892141.6,1002665
18-030442,2018-07,7/3/2018 10:30,183130,4,DRUGS-SALE/HEROIN,1915,OLIVE,36,1915,OLIVE,906177.4,1016672
18-030452,2018-07,7/3/2018 11:10,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",3015,N 23RD ST,60,3015,23RD,904022.6,1027132
18-030599,2018-07,7/3/2018 11:30,64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",0,GRAHAM ST / OAKLAND AVE,42, , ,879912.2,1018756
18-030468,2018-07,7/3/2018 11:40,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",0,N 17TH ST / LUCAS AVE,36, , ,904965.2,1019731
18-030446,2018-07,7/3/2018 11:41,265100,5,SAFETY-FIREWORKS VIOLATION,3400,GOODFELLOW BLVD,50,3200,GOODFELLOW,885479.2,1037831
18-030486,2018-07,7/3/2018 11:45,64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",6800,WELLS DR,82,1,GOVERNMENT,876293.8,1019804
18-031477,2018-07,7/3/2018 11:54,64601,6,"LARCENY-FROM MTR VEH $500 - $24,999",4335,LEXINGTON AVE,56,4014,UNION,895506.4,1032413
18-030451,2018-07,7/3/2018 12:00,43013,6,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,5971,GOODFELLOW BLVD,73,5971,GOODFELLOW,890485.6,1049344
18-030619,2018-07,7/3/2018 12:00,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6570,MARMADUKE AVE,11,6570,MARMADUKE,877125.1,1011290
18-030466,2018-07,7/3/2018 12:35,265321,3,LEAVING SCENE OF ACCIDENT,2814,S COMPTON AVE,25,2814,COMPTON,896057.1,1009153
18-032817,2018-07,7/3/2018 12:58,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4430,NEOSHO ST,5,4430,NEOSHO,885978.1,1002147
18-030462,2018-07,7/3/2018 13:02,265100,5,SAFETY-FIREWORKS VIOLATION,3360,UNION BLVD,52,3360,UNION,888831.2,1035566
18-030471,2018-07,7/3/2018 13:45,265321,4,LEAVING SCENE OF ACCIDENT,3731,DR MARTIN LUTHER KING DR,59, , ,897494.3,1025430
18-030475,2018-07,7/3/2018 14:00,63701,1,LARCENY-SHOPLIFT UNDER $500,4930,CHRISTY BLVD,5,4930,CHRISTY,884082.3,1001677
18-031724,2018-07,7/3/2018 14:00,69602,1,"LARCENY-ALL OTHER $500 - $24,999",3561,ITASKA ST,16,3561,ITASKA,892261.1,997983.6
18-031843,2018-07,7/3/2018 14:00,266400,5,PUBLIC ORDER-ANIMAL VIOLATION,5030,TERRY AVE,52,5030,TERRY,889522.3,1033207
18-030474,2018-07,7/3/2018 14:03,182400,1,DRUGS-POSSESSION/MARIJUANA,3720,BATES ST,3, , ,889589.5,996393.4
18-031097,2018-07,7/3/2018 14:30,64601,0,"LARCENY-FROM MTR VEH $500 - $24,999",0,UNKNOWN,0,3912,ST FERDINAND,0,0
18-030480,2018-07,7/3/2018 14:42,265321,4,LEAVING SCENE OF ACCIDENT,0,N 14TH ST / CARR ST,61,919,JEFFERSON,906659.7,1020851
18-030483,2018-07,7/3/2018 15:00,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4616,BIRCHER BLVD,69, , ,895665.3,1037258
18-031907,2018-07,7/3/2018 15:00,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2315,MICHIGAN AVE,25,2315,MICHIGAN,896450.6,1010487
18-030495,2018-07,7/3/2018 15:10,31111,3,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3600,THOLOZAN AVE,19, , ,893431.9,1004232
18-030482,2018-07,7/3/2018 15:15,250000,4,LOITERING-BEGGING,1401,SAINT LOUIS AVE,63,1401,SAINT LOUIS,906593.5,1026157
18-030773,2018-07,7/3/2018 15:30,65701,1,LARCENY-MTR VEH PARTS UNDER $500,7016,VIRGINIA AVE,1,7016,VIRGINIA,889673.3,990530.3
18-030497,2018-07,7/3/2018 15:40,265321,6,LEAVING SCENE OF ACCIDENT,412,E PRAIRIE AVE,64,412,PRAIRIE,905052.4,1035750
18-030522,2018-07,7/3/2018 15:55,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6210,W FLORISSANT AVE,76,6210,FLORISSANT,890166.1,1048333
18-031308,2018-07,7/3/2018 16:00,64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",3667,RUSSELL AVE,27,3667,RUSSELL,893804.6,1012484
18-030514,2018-07,7/3/2018 16:10,182400,4,DRUGS-POSSESSION/MARIJUANA,200,S TUCKER BLVD,35,200,TUCKER,906343.9,1016785
18-030500,2018-07,7/3/2018 16:20,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6211,NORTH POINTE BLVD,73,6211,NORTH POINTE,890415.9,1048772
18-030785,2018-07,7/3/2018 16:30,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2745,N GRAND BLVD,59,2745,GRAND,899834.2,1027484
18-030567,2018-07,7/3/2018 16:30,51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,6925,MICHIGAN AVE,1,6925,MICHIGAN,890005.5,990669.4
18-030505,2018-07,7/3/2018 16:39,266510,3,PUBLIC ORDER-TRESPASSING,3406,HALLIDAY AVE,25,3406,HALLIDAY,895363.2,1009243
18-030509,2018-07,7/3/2018 16:45,67701,1,LARCENY-FROM BUILDING UNDER $500,5550,S GRAND BLVD,1,5550,GRAND,890701.1,995885.1
18-030790,2018-07,7/3/2018 17:30,64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,0,LOCUST ST / N TUCKER BLVD,35, , ,906723.3,1018621
18-030531,2018-07,7/3/2018 17:30,265321,6,LEAVING SCENE OF ACCIDENT,4901,HOOKE AVE,71,4901,HOOKE,894124.1,1038665
18-030526,2018-07,7/3/2018 17:34,10000,5,HOMICIDE,1707,BILLUPS AVE,57,1705,BILLUPS,893625.3,1028137
18-030519,2018-07,7/3/2018 17:35,265321,2,LEAVING SCENE OF ACCIDENT,901,S SKINKER BLVD,45,901,SKINKER,876127.6,1020189
18-030640,2018-07,7/3/2018 17:45,64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4519,MCPHERSON AVE,38,4519,MCPHERSON,889838.6,1024327
18-030528,2018-07,7/3/2018 17:50,182130,3,DRUGS-POSSESSION/HEROIN,3834,IOWA AVE,16,3834,IOWA,897340.1,1002401
18-030527,2018-07,7/3/2018 17:57,265321,5,LEAVING SCENE OF ACCIDENT,0,FOREST PARK PKWY / N SKINKER B,46, , ,877121.3,1025345
18-030525,2018-07,7/3/2018 18:00,103000,3,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,3605,S BROADWAY,18,3605,BROADWAY,900384.8,1003749
18-030550,2018-07,7/3/2018 18:00,64701,5,LARCENY-FROM MTR VEH UNDER $500,6235,DELMAR BLVD,48,6235,DELMAR,877122.5,1027707
18-030707,2018-07,7/3/2018 18:00,69702,1,LARCENY-ALL OTHER UNDER $500,6021,MICHIGAN AVE,1,6021,MICHIGAN,892251.5,993101.3
18-030603,2018-07,7/3/2018 18:00,69602,5,"LARCENY-ALL OTHER $500 - $24,999",4214,E EVANS AVE,58,4212,EVANS,894585.8,1026575
18-032638,2018-07,7/3/2018 18:00,67701,5,LARCENY-FROM BUILDING UNDER $500,4497,PERSHING AVE,38,4497,PERSHING,889826.8,1023940
18-032033,2018-07,7/3/2018 18:00,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4497,PERSHING AVE,38,4497,PERSHING,889826.8,1023940
18-030532,2018-07,7/3/2018 18:05,69703,1,LARCENY-ALL OTH/FRM PRSN/UNDER $500,911,IRON ST,1,911,IRON,890250,993583.6
18-030520,2018-07,7/3/2018 18:06,229999,4,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,800,PINE ST,35, , ,907783.3,1017500
18-030537,2018-07,7/3/2018 18:20,63701,5,LARCENY-SHOPLIFT UNDER $500,3431,UNION BLVD,50,3431,UNION,888884.8,1036000
18-030530,2018-07,7/3/2018 18:25,229999,4,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,850,PINE ST,35, , ,907693.9,1017720
18-030616,2018-07,7/3/2018 18:30,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3447,CONNECTICUT ST,25,3447,CONNECTICUT,894527.6,1007405
18-030591,2018-07,7/3/2018 19:30,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3933,KEOKUK ST,16,3933,KEOKUK,890719.8,1002853
18-030542,2018-07,7/3/2018 19:30,63701,5,LARCENY-SHOPLIFT UNDER $500,3925,LINDELL BLVD,38,3925,LINDELL,894199,1021580
18-030539,2018-07,7/3/2018 19:42,265321,4,LEAVING SCENE OF ACCIDENT,420,N 6TH ST,35,420,6TH,908992.6,1018056
18-030544,2018-07,7/3/2018 20:00,91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,5509,ST LOUIS AVE,50, , ,886656.3,1035585
18-030608,2018-07,7/3/2018 20:00,64701,5,LARCENY-FROM MTR VEH UNDER $500,4531,MCPHERSON AVE,38,4531,MCPHERSON,889838.6,1024327
18-030601,2018-07,7/3/2018 20:00,142320,0,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,UNKNOWN,0,4439,GARFIELD,0,0
18-030771,2018-07,7/3/2018 20:00,51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4113,OLIVE ST,38,4113,OLIVE,893249.9,1023367
18-030548,2018-07,7/3/2018 20:10,69602,1,"LARCENY-ALL OTHER $500 - $24,999",5623,LEONA ST,5,5623,LEONA,887376.7,997596.3
18-030546,2018-07,7/3/2018 20:16,229999,4,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,801,WASHINGTON AVE,35,800,WASHINGTON,908274.4,1018756
18-031860,2018-07,7/3/2018 20:27,69702,3,LARCENY-ALL OTHER UNDER $500,400,BARTON ST,20,400,BARTON,904758.4,1007636
18-030623,2018-07,7/3/2018 20:30,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4987,BLOW ST,6,4987,BLOW,880544,996633
18-030633,2018-07,7/3/2018 20:30,71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4011,HARTFORD ST,15,4011,HARTFORD,890793.5,1008540
18-030623,2018-07,7/3/2018 20:30,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4987,BLOW ST,6,4987,BLOW,880544,996633
18-030547,2018-07,7/3/2018 20:42,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2807,S JEFFERSON AVE,30,2807,JEFFERSON,899123.9,1008510
18-030675,2018-07,7/3/2018 20:59,51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3842,ALEXANDER ST,16,3842,ALEXANDER,890490.9,1003054
18-030604,2018-07,7/3/2018 21:00,64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4531,MCPHERSON AVE,38,4531,MCPHERSON,889838.6,1024327
18-030950,2018-07,7/3/2018 21:00,69702,3,LARCENY-ALL OTHER UNDER $500,3221,NEBRASKA AVE,30,3221,NEBRASKA,896802.6,1006375
18-030860,2018-07,7/3/2018 21:15,43012,6,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,4014,UNION BLVD,70,4014,UNION,890074.4,1037079
18-030551,2018-07,7/3/2018 21:25,31421,4,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,2,S 4TH ST,35, , ,909168.1,1016457
18-030553,2018-07,7/3/2018 21:35,43016,4,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,3407,FRANKLIN AVE,77,3407,FRANKLIN,898188.9,1022281
18-030552,2018-07,7/3/2018 21:39,182250,6,DRUGS-POSSESSION/COCAINE,8737,N BROADWAY,74,8737,BROADWAY,897520.6,1051945
18-030554,2018-07,7/3/2018 21:45,31312,4,ROBBERY-HIGHWAY   /OTHR WEPN USED/ATTEMPT,1500,OLIVE ST,36,1500,OLIVE,905442.8,1018627
18-030641,2018-07,7/3/2018 22:00,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3912,EILER ST,5,3912,EILER,888705.7,997515.4
18-030593,2018-07,7/3/2018 22:00,64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",4312,E FAIRFAX CT,58,4312,FAIRFAX,892619.4,1025853
18-030618,2018-07,7/3/2018 22:00,51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5705,PAMPLIN PL,76,5705,PAMPLIN,890638.1,1047182
18-030556,2018-07,7/3/2018 22:10,265321,3,LEAVING SCENE OF ACCIDENT,3106,S GRAND BLVD,25, , ,893984.2,1008284
18-030561,2018-07,7/3/2018 22:10,91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,721,N 17TH ST,36,721,17TH,905047.1,1019783
18-030564,2018-07,7/3/2018 22:50,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,0,CHURCH RD / HORNSBY AVE,74,8337,BROADWAY,896387.8,1050664
18-030560,2018-07,7/3/2018 22:50,265321,5,LEAVING SCENE OF ACCIDENT,1243,OAKLEY PL,48,1243,OAKLEY,880702.6,1031820
18-030563,2018-07,7/3/2018 22:55,64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,1217,N EUCLID AVE,53,1217,EUCLID,888776,1028490
18-030668,2018-07,7/3/2018 23:00,64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4061,MCREE AVE,28,4061,MCREE,891721.1,1014438
18-031159,2018-07,7/3/2018 23:00,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3284,VOLO AVE,14,3284,VOLO,882471.9,1007828
18-031927,2018-07,7/3/2018 23:00,51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4170,FARLIN AVE,68,4170,FARLIN,897541.6,1032969
18-030572,2018-07,7/3/2018 23:30,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2831,GAMBLE ST,59,2831,GAMBLE,901242.3,1022518
18-030573,2018-07,7/3/2018 23:39,151130,6,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,4434,ASHLAND AVE,56,4400,ASHLAND,894625.5,1032157
18-030574,2018-07,7/4/2018 0:01,51212,6,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED,4531,CARRIE AVE,69,4531,CARRIE,897356.3,1036540
18-030571,2018-07,7/4/2018 0:32,182130,4,DRUGS-POSSESSION/HEROIN,3024,KOSSUTH AVE,67, , ,902379.7,1030629
18-030904,2018-07,7/4/2018 0:40,65701,6,LARCENY-MTR VEH PARTS UNDER $500,0,I 70 WESTBOUND / SHREVE AVE,69, , ,894744.3,1037701
18-030576,2018-07,7/4/2018 0:45,130000,3,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",3931,PENNSYLVANIA AVE,16,3931,PENNSYLVANIA,895728.7,1001758
18-030575,2018-07,7/4/2018 0:58,265321,3,LEAVING SCENE OF ACCIDENT,0,CHOUTEAU AVE / S COMPTON AVE,31, , ,897494.9,1016418
18-030578,2018-07,7/4/2018 1:25,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3923,CHIPPEWA ST,15,3923,CHIPPEWA,890901.7,1003595
18-030661,2018-07,7/4/2018 1:30,64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4497,PERSHING AVE,38,4497,PERSHING,889826.8,1023940
18-030681,2018-07,7/4/2018 2:00,65701,6,LARCENY-MTR VEH PARTS UNDER $500,0,BIRCHER BLVD / I 70 EASTBOUND,70, , ,888440.1,1043058
18-030577,2018-07,7/4/2018 2:00,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5200,ORIOLE ST,72,5200,ORIOLE,890343.1,1044164
18-030580,2018-07,7/4/2018 2:07,69603,4,"LARC-ALL OTH/FRM PRSN/$500 - $24,999",999,N 2ND ST,35,999,2ND,910439.8,1019433
18-030581,2018-07,7/4/2018 2:24,43013,5,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,5401,NATURAL BRIDGE AVE,50, , ,888336.9,1036762
18-030582,2018-07,7/4/2018 2:35,91113,6,SIMPLE ASSAULT-ADULT/NO INJURY,4009,W FLORISSANT AVE,68, , ,900616.9,1034273
18-030589,2018-07,7/4/2018 2:45,41021,4,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,1421,N 8TH ST,62,1421,8TH,909212.8,1022017
18-030584,2018-07,7/4/2018 2:45,91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,1000,SPRUCE ST,35,1000,SPRUCE,906666.7,1015976
18-030637,2018-07,7/4/2018 3:00,64701,5,LARCENY-FROM MTR VEH UNDER $500,4511,MCPHERSON AVE,38,4511,MCPHERSON,889838.6,1024327
18-030594,2018-07,7/4/2018 3:12,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",999,N 2ND ST,35,999,2ND,910439.8,1019433
18-030585,2018-07,7/4/2018 3:50,31112,4,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT,0,HADLEY ST / N TUCKER BLVD,62, , ,907780.3,1021790
18-030587,2018-07,7/4/2018 4:45,52212,6,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE,4162,N NEWSTEAD AVE,68,4162,NEWSTEAD,896591.9,1034686
18-030588,2018-07,7/4/2018 5:45,64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",5600,LOTUS AVE,50,5600,LOTUS,884714.3,1033794
18-030600,2018-07,7/4/2018 7:30,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,752,S 4TH ST,35,752,4TH,908307.9,1014251
18-030598,2018-07,7/4/2018 7:50,31421,1,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,3955,S GRAND BLVD,16, , ,893029.5,1001845
18-032501,2018-07,7/4/2018 8:00,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3522,ARSENAL ST,25,3522,ARSENAL,894247.8,1008245
18-030627,2018-07,7/4/2018 8:00,67701,6,LARCENY-FROM BUILDING UNDER $500,4764,GREER AVE,55,4764,GREER,891805.2,1032935
18-030605,2018-07,7/4/2018 8:30,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1525,DESTREHAN ST,65,1525,DESTREHAN,905806.8,1028965
18-030606,2018-07,7/4/2018 9:25,265321,4,LEAVING SCENE OF ACCIDENT,0,N BROADWAY / SALISBURY ST,64, , ,907164.2,1030212
18-030607,2018-07,7/4/2018 9:27,241100,3,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,1230,RUSSELL BLVD,21,1230,RUSSELL,903163.1,1010373
18-030611,2018-07,7/4/2018 9:54,182250,5,DRUGS-POSSESSION/COCAINE,5853,COTE BRILLIANTE AVE,50,5853,COTE BRILLIANTE,883011.7,1034614
18-030612,2018-07,7/4/2018 10:00,41013,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,2440,N SPRING AVE,59,0,SPRING,898846.4,1026726
18-030854,2018-07,7/4/2018 10:30,64701,5,LARCENY-FROM MTR VEH UNDER $500,0,PERSHING AVE / UNION BLVD,38, , ,884718.8,1024749
18-030818,2018-07,7/4/2018 11:00,67701,3,LARCENY-FROM BUILDING UNDER $500,2916,KEOKUK ST,16,2916,KEOKUK,896017.3,1001963
18-030622,2018-07,7/4/2018 11:10,41013,2,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,5401,CHIPPEWA ST,14, , ,882063.4,1004686
18-030730,2018-07,7/4/2018 11:30,51122,4,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,200,N 4TH ST,35,200,4TH,909518.1,1017323
18-030809,2018-07,7/4/2018 11:46,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4100,NATURAL BRIDGE AVE,56,4100,NATURAL BRIDGE,898072.3,1031219
18-033025,2018-07,7/4/2018 12:00,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2208,CHIPPEWA ST,18,2208,CHIPPEWA,898779.8,1002200
18-030626,2018-07,7/4/2018 12:25,91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",2011,CONGRESS ST,22,2011,CONGRESS,900624,1008318
18-030626,2018-07,7/4/2018 12:25,91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",2011,CONGRESS ST,22,2011,CONGRESS,900624,1008318
18-030624,2018-07,7/4/2018 12:30,182130,6,DRUGS-POSSESSION/HEROIN,8722,N BROADWAY,74, , ,897601.3,1051819
18-030703,2018-07,7/4/2018 13:00,51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4610,LEXINGTON AVE,56,4610,LEXINGTON,893643.8,1033165
18-030629,2018-07,7/4/2018 13:03,241100,4,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,918,OLIVE ST,35, , ,907524.7,1017960
18-030638,2018-07,7/4/2018 13:45,266510,3,PUBLIC ORDER-TRESPASSING,2250,GASCONADE ST,18, , ,898021.9,1000270
18-032663,2018-07,7/4/2018 13:51,264100,6,HEALTH-SANITATION VIOL,8463,N BROADWAY,74,8458,CONCORD,897266.8,1049963
18-030636,2018-07,7/4/2018 14:00,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6066,THEKLA AVE,76,6066,THEKLA,889510.6,1045486
18-030886,2018-07,7/4/2018 14:00,69702,6,LARCENY-ALL OTHER UNDER $500,0,LILLIAN AVE / RIVERVIEW BLVD,72,919,JEFFERSON,888961,1043676
18-030799,2018-07,7/4/2018 15:00,69602,5,"LARCENY-ALL OTHER $500 - $24,999",5896,DELMAR BLVD,46,5896,DELMAR,880077.9,1027128
18-030644,2018-07,7/4/2018 15:00,91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1014,BITTNER ST,74,1014,BITTNER,896527.5,1047384
18-031379,2018-07,7/4/2018 15:00,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4014,UNION BLVD,70,4014,UNION,890074.4,1037079
18-030642,2018-07,7/4/2018 15:55,63701,3,LARCENY-SHOPLIFT UNDER $500,2600,CHOUTEAU AVE,31, , ,900507.7,1015458
18-030700,2018-07,7/4/2018 16:00,51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5066,EMERSON AVE,71,5066,EMERSON,892255.8,1041385
18-030779,2018-07,7/4/2018 16:00,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4401,RIDGEWOOD AVE,5,4401,RIDGEWOOD,885645.9,1003579
18-030984,2018-07,7/4/2018 16:00,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,200,S 4TH ST,35,200,4TH,909014.1,1015761
18-030647,2018-07,7/4/2018 16:08,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4715,NEWCOMB PL,54,4715,NEWCOMB,890310.8,1029190
18-030649,2018-07,7/4/2018 16:13,265321,6,LEAVING SCENE OF ACCIDENT,0,ANDERSON AVE / MARCUS AVE,69, , ,894835.5,1036440
18-030660,2018-07,7/4/2018 16:30,91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,6326,VERMONT AVE,1, , ,891052.6,992565.4
18-030759,2018-07,7/4/2018 16:30,71040,1,AUTO THEFT-PERM RETNT/ATTEMPT,4940,NEOSHO ST,7,4940,NEOSHO,883434.9,1001633
18-031569,2018-07,7/4/2018 16:30,51312,2,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3951,CONNECTICUT ST,15,3951,CONNECTICUT,891124.9,1007769
18-030646,2018-07,7/4/2018 16:35,182250,4,DRUGS-POSSESSION/COCAINE,1400,ANGELICA ST,65,1400,ANGELICA,905384.5,1031373
18-030815,2018-07,7/4/2018 17:00,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5033,LOUISIANA AVE,16,5033,LOUISIANA,891825.4,996930.1
18-030704,2018-07,7/4/2018 17:00,67701,3,LARCENY-FROM BUILDING UNDER $500,2700,ARMAND PL,24,2700,ARMAND,898847,1010539
18-031023,2018-07,7/4/2018 17:00,65701,5,LARCENY-MTR VEH PARTS UNDER $500,4535,GARFIELD AVE,56,4535,GARFIELD,892325.8,1029603
18-030653,2018-07,7/4/2018 17:30,265321,6,LEAVING SCENE OF ACCIDENT,4318,DARDENNE DR,70,4300,DARDENNE,885250.3,1041233
18-030780,2018-07,7/4/2018 17:30,67701,1,LARCENY-FROM BUILDING UNDER $500,1020,LOUGHBOROUGH AVE,1,3617,FRENCH,888369.9,991903
18-030769,2018-07,7/4/2018 18:00,65701,5,LARCENY-MTR VEH PARTS UNDER $500,1949,HODIAMONT AVE,50,1949,HODIAMONT,881945,1035471
18-030705,2018-07,7/4/2018 18:00,44016,2,ASSLT-AGGRV-HND/FST/FT-3RD-ADUL-DOMESTIC,3702,BAMBERGER AVE,15,3702,BAMBERGER,891920.9,1003955
18-030676,2018-07,7/4/2018 18:00,42011,4,AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE,1310,N GRAND BLVD,77, , ,898106.7,1024167
18-030788,2018-07,7/4/2018 18:00,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3919,ASHLAND AVE,56,3919,ASHLAND,898812.1,1030055
18-031157,2018-07,7/4/2018 18:00,51330,6,BURGLARY-RESDNCE/UNK TIM/ATT FORCE ENTRY,5822,PAMPLIN AVE,73,5822,PAMPLIN,891154,1047586
18-030658,2018-07,7/4/2018 18:05,241100,1,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,3680,MONTANA ST,16,3680,MONTANA,892348.4,1001361
18-030677,2018-07,7/4/2018 18:30,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,7200,HAMPTON AVE,6,7200,HAMPTON,878522.5,996850.4
18-030865,2018-07,7/4/2018 18:30,265321,4,LEAVING SCENE OF ACCIDENT,0,N 14TH ST / LUCAS AVE,36,3416,SPRING,906073.7,1019412
18-030664,2018-07,7/4/2018 18:39,91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,200,S TUCKER BLVD,35,200,TUCKER,906343.9,1016785
18-030702,2018-07,7/4/2018 18:45,51230,6,BURGLARY-RESIDENCE/NIT/ATT FORCE ENTRY,4621,LEE AVE,69,4621,LEE,894902.8,1035421
18-030861,2018-07,7/4/2018 19:00,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4475,BARAT HALL DR,38,4475,BARAT HALL,889689.1,1023437
18-032042,2018-07,7/4/2018 19:00,64701,2,LARCENY-FROM MTR VEH UNDER $500,3935,POTOMAC ST,15,3935,POTOMAC,891021.3,1005509
18-030739,2018-07,7/4/2018 19:00,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3839,MINNESOTA AVE,16,3839,MINNESOTA,895498.3,1002382
